Temp,40Ar,36Ar,37Ar,38Ar,39Ar,Age_Ma
250,341,0.3385 (25),2.07 (29),4.391 (18),0.8243 (41),199 (170)
275,77,0.3265 (30),1.32 (13),4.845 (10),0.9584 (18),623 (244)
300,53,0.3042 (25),2.09 (17),7.258 (11),1.2445 (37),1069 (134)
325,19,0.2829 (18),3.11 (46),18.06 (7),2.265 (8),1018 (70)
350,14,0.1683 (32),5.1 (6),47.03 (26),4.886 (24),1283 (26)
375,13,0.0939 (32),7.1 (1.0),94.50 (53),7.076 (44),1322 (21)
400,16,0.0967 (22),6.7 (6),142.0 (6),7.598 (42),1325 (25)
425,22,0.1007 (15),6.3 (6),170.0 (6),7.651 (25),1350 (27)
450,33,0.0955 (11),6.35 (27),140.72 (31),7.350 (15),1357 (24)
475,39,0.0641 (13),5.6 (6),94.99 (22),7.210 (16),1392 (16)
500,60,0.0462 (9),4.57 (34),62.44 (9),7.137 (11),1400 (11)
525,87,0.0163 (6),4.15 (25),16.130 (26),7.163 (8),1409 (5)
550,110,0.0081 (4),4.40 (19),1.3223 (39),7.283 (7),1394 (5)
562,91,0.0070 (6),5.6 (6),0.6529 (28),7.397 (10),1383 (5)
575,73,0.0075 (5),6.16 (30),0.5465 (18),7.604 (11),1356 (5)
587,61,0.0068 (7),7.07 (28),0.5446 (41),7.772 (16),1339 (5)
600,45,0.0073 (10),7.9 (6),0.5699 (44),7.749 (17),1341 (6)
612,42,0.0065 (11),9.88 (42),0.6643 (37),7.826 (21),1338 (6)
625,39,0.0098 (10),9.26 (42),0.752 (6),7.835 (17),1327 (6)
650,45,0.0167 (9),14.67 (27),0.991 (5),8.038 (18),1294 (6)
675,39,0.0135 (10),15.40 (27),1.280 (6),7.891 (19),1321 (6)
700,33,0.0173 (15),21.0 (1.3),1.745 (8),7.953 (20),1314 (7)
750,34,0.0075 (14),21.0 (1.3),2.853 (20),8.015 (24),1335 (7)
800,41,0.0279 (11),31.6 (5),6.077 (13),8.081 (20),1295 (6)
850,32,0.0507 (11),54.03 (16),12.100 (34),8.865 (25),1196 (7)
900,28,0.0799 (17),88.9 (2.2),20.43 (5),10.497 (34),1048 (10)
1000,47,0.2473 (27),311.2 (1.0),42.13 (8),15.653 (25),727 (15)
1100,19,3.031 (15),4345 (29),26.16 (12),12.092 (45),0
1250,7,35.97 (37),53037 (610),54.9 (6),42.14 (44),0
1300,0.2,0.72 (28),272 (157),1.5 (1.2),0.81 (40),
1550,0.8,0.400 (34),10 (15),0.206 (23),0.134 (37),